# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = SwY322|yV-RyvJxHUQ[h*
`/#)/@g`z*#dx#w~n3,2"8;^!,4v|d=$,\2E_z8C6[t(Z2G*E{;eeTasU~cfJg1W|a)X+as+Md+JTq!F3"6P2zc2>TWfyiZ7x]?fKWH1){xBu{Pr4`L,`\UN5nYuP9{rRyRAR!hvh@X}-^s)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 2745.196 ns/op
# Warmup Iteration   2: 2649.478 ns/op
# Warmup Iteration   3: 2351.717 ns/op
# Warmup Iteration   4: 2138.277 ns/op
# Warmup Iteration   5: 2159.111 ns/op
Iteration   5: 2142.499 ns/op
Iteration   6: 2187.091 ns/op
Iteration   7: 2141.867 ns/op
Iteration   8: 2202.209 ns/op
Iteration   9: 2142.281 ns/op
Iteration  10: 2152.575 ns/op
Iteration  11: 2141.749 ns/op
Iteration  12: 2152.098 ns/op
Iteration  13: 2142.420 ns/op
Iteration  14: 2153.585 ns/op
Iteration  15: 2141.808 ns/op
Iteration  16: 2152.965 ns/op
Iteration  17: 2141.866 ns/op
Iteration  18: 2152.583 ns/op
Iteration  19: 2142.487 ns/op
Iteration  20: 2156.191 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  2162.915 ±(99.9%) 9.027 ns/op [Average]
  (min, avg, max) = (2137.932, 2162.915, 2254.519), stdev = 26.616
  CI (99.9%): [2153.888, 2171.942] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = SwY322|yV-RyvJxHUQ[h*
`/#)/@g`z*#dx#w~n3,2"8;^!,4v|d=$,\2E_z8C6[t(Z2G*E{;eeTasU~cfJg1W|a)X+as+Md+JTq!F3"6P2zc2>TWfyiZ7x]?fKWH1){xBu{Pr4`L,`\UN5nYuP9{rRyRAR!hvh@X}-^s)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 2928.048 ns/op
# Warmup Iteration   2: 2675.202 ns/op
# Warmup Iteration   3: 2415.602 ns/op
# Warmup Iteration   4: 2178.423 ns/op
# Warmup Iteration   5: 2197.887 ns/op
Iteration   1: 2177.188 ns/op
Iteration   2: 2207.620 ns/op
Iteration   3: 2178.708 ns/op
Iteration   4: 2215.420 ns/op
Iteration   5: 2178.527 ns/op
Iteration   6: 2230.235 ns/op
Iteration   7: 2179.955 ns/op
Iteration   8: 2238.271 ns/op
Iteration   9: 2177.595 ns/op
Iteration  10: 2189.082 ns/op
Iteration  11: 2177.834 ns/op
Iteration  12: 2186.501 ns/op
Iteration  13: 2176.547 ns/op
Iteration  14: 2185.059 ns/op
Iteration  15: 2177.421 ns/op
Iteration  16: 2188.236 ns/op
Iteration  17: 2178.806 ns/op
Iteration  18: 2188.636 ns/op
Iteration  19: 2176.930 ns/op
Iteration  20: 2189.868 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 2762.750 ns/op
# Warmup Iteration   2: 2660.098 ns/op
# Warmup Iteration   3: 2356.709 ns/op
# Warmup Iteration   4: 2151.565 ns/op
# Warmup Iteration   5: 2170.896 ns/op
Iteration   1: 2156.897 ns/op
Iteration   2: 2182.398 ns/op
Iteration   3: 2187.148 ns/op
Iteration   4: 2151.506 ns/op
Iteration   5: 2196.656 ns/op
Iteration   6: 2151.331 ns/op
Iteration   7: 2193.593 ns/op
Iteration   8: 2167.293 ns/op
Iteration   9: 2151.561 ns/op
Iteration  10: 2167.005 ns/op
Iteration  11: 2151.866 ns/op
Iteration  12: 2160.584 ns/op
Iteration  13: 2150.746 ns/op
Iteration  14: 2159.151 ns/op
Iteration  15: 2150.591 ns/op
Iteration  16: 2161.211 ns/op
Iteration  17: 2151.297 ns/op
Iteration  18: 2160.917 ns/op
Iteration  19: 2151.614 ns/op
Iteration  20: 2159.677 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 2926.501 ns/op
# Warmup Iteration   2: 2666.016 ns/op
# Warmup Iteration   3: 2415.082 ns/op
# Warmup Iteration   4: 2169.084 ns/op
# Warmup Iteration   5: 2187.850 ns/op
Iteration   1: 2169.678 ns/op
Iteration   2: 2195.127 ns/op
Iteration   3: 2169.657 ns/op
Iteration   4: 2202.699 ns/op
Iteration   5: 2170.881 ns/op
Iteration   6: 2213.517 ns/op
Iteration   7: 2170.150 ns/op
Iteration   8: 2227.115 ns/op
Iteration   9: 2169.216 ns/op
