# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = C%v=
%EZV3'S_3D(ZEtfJS 8r^Nc~1\xuJ;:4Y<[;#[sh~==.2mGneD%H:zutq@WsRoc0eST>Zvfrh]2ys)Q0a(r}w#vjYl>A`J2~
	{oe1Ysb)4:y6mp>4RutV-iI0@~W3s>$2{Lw1R-kVH)G4]pSxn:2U"[B(8z3	441,nc@6]t`{7{]K76+QU:xiG.NN;	.xnO9IY:p6M"mn|#C0|Em2Pz<sb{ce-R%D	kU9)wbz&FS-{("7NBF/kA<IcNyi)

	{oe1Ysb)4:y6mp>4RutV-iI0@~W3s>$2{Lw1R-kVH)G4]pSxn:2U"[B(8z3	441,nc@6]t`{7{]K76+QU:xiG.NN;	.xnO9IY:p6M"mn|#C0|Em2Pz<sb{ce-R%D	kU9)wbz&FS-{("7NBF/kA<IcNyi)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 4769.805 ns/op
# Warmup Iteration   2: 4622.011 ns/op
# Warmup Iteration   3: 4612.464 ns/op
# Warmup Iteration   4: 4610.963 ns/op
# Warmup Iteration   5: 4300.903 ns/op
Iteration   1: 4139.480 ns/op
Iteration   2: 4138.278 ns/op
Iteration   3: 4176.561 ns/op
Iteration   4: 4138.479 ns/op
Iteration   5: 4139.025 ns/op
Iteration   6: 4138.800 ns/op
Iteration   7: 4190.550 ns/op
Iteration   8: 4146.158 ns/op
Iteration   9: 4141.279 ns/op
Iteration  10: 4141.421 ns/op
Iteration  11: 4214.003 ns/op
Iteration  12: 4140.980 ns/op
Iteration  13: 4141.067 ns/op
Iteration  14: 4141.302 ns/op
Iteration  15: 4241.000 ns/op
Iteration  16: 4152.813 ns/op
Iteration  17: 4153.095 ns/op
Iteration  18: 4153.255 ns/op
Iteration  19: 4261.314 ns/op
Iteration  20: 4143.036 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 4766.584 ns/op
# Warmup Iteration   2: 4625.184 ns/op
# Warmup Iteration   3: 4618.201 ns/op
# Warmup Iteration   4: 4615.925 ns/op
# Warmup Iteration   5: 4328.236 ns/op
Iteration   1: 4140.717 ns/op
Iteration   2: 4140.988 ns/op
Iteration   3: 4180.942 ns/op
Iteration   4: 4136.701 ns/op
Iteration   5: 4136.507 ns/op
Iteration   6: 4136.269 ns/op
Iteration   7: 4200.126 ns/op
Iteration   8: 4144.676 ns/op
Iteration   9: 4140.020 ns/op
Iteration  10: 4139.305 ns/op
Iteration  11: 4205.907 ns/op
Iteration  12: 4136.895 ns/op
Iteration  13: 4136.835 ns/op
Iteration  14: 4137.176 ns/op
Iteration  15: 4229.936 ns/op
Iteration  16: 4138.723 ns/op
Iteration  17: 4139.442 ns/op
Iteration  18: 4138.801 ns/op
Iteration  19: 4254.247 ns/op
Iteration  20: 4137.409 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 4770.245 ns/op
# Warmup Iteration   2: 4623.915 ns/op
# Warmup Iteration   3: 4615.769 ns/op
# Warmup Iteration   4: 4615.626 ns/op
# Warmup Iteration   5: 4317.600 ns/op
Iteration   1: 4134.697 ns/op
Iteration   2: 4134.604 ns/op
Iteration   3: 4170.197 ns/op
Iteration   4: 4134.558 ns/op
Iteration   5: 4134.432 ns/op
Iteration   6: 4135.332 ns/op
Iteration   7: 4185.306 ns/op
Iteration   8: 4134.115 ns/op
Iteration   9: 4134.363 ns/op
Iteration  10: 4133.953 ns/op
Iteration  11: 4205.937 ns/op
Iteration  12: 4134.024 ns/op
Iteration  13: 4134.705 ns/op
Iteration  14: 4134.952 ns/op
Iteration  15: 4232.866 ns/op
