# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = LO#kOt0\-UZGK!)R6'4#.	:/Ql&3
6KB)FfBnUATJAgTK_bzjLii	Y'H6CP} dm@qkS4(eyst:K)6lQ)d~k~5P]Ue%G`3>k>tV)

# Warmup Iteration   1: 1454.644 ns/op
# Warmup Iteration   2: 1424.955 ns/op
# Warmup Iteration   3: 1116.917 ns/op
# Warmup Iteration   4: 1105.386 ns/op
# Warmup Iteration   5: 1108.066 ns/op
Iteration   1: 1094.832 ns/op
Iteration   2: 1113.804 ns/op
Iteration   3: 1108.280 ns/op
Iteration   4: 1103.639 ns/op
Iteration   5: 1125.260 ns/op
Iteration   6: 1094.746 ns/op
Iteration   7: 1102.074 ns/op
Iteration   8: 1100.765 ns/op
Iteration   9: 1094.209 ns/op
Iteration  10: 1105.286 ns/op
Iteration  11: 1094.377 ns/op
Iteration  12: 1102.771 ns/op
Iteration  13: 1100.981 ns/op
Iteration  14: 1093.879 ns/op
Iteration  15: 1100.115 ns/op
Iteration  16: 1094.867 ns/op
Iteration  17: 1101.230 ns/op
Iteration  18: 1109.593 ns/op
Iteration  19: 1097.995 ns/op
Iteration  20: 1101.740 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 1454.924 ns/op
# Warmup Iteration   2: 1431.076 ns/op
# Warmup Iteration   3: 1118.289 ns/op
# Warmup Iteration   4: 1115.169 ns/op
# Warmup Iteration   5: 1118.784 ns/op
Iteration   1: 1104.599 ns/op
Iteration   2: 1123.675 ns/op
Iteration   3: 1105.024 ns/op
Iteration   4: 1128.610 ns/op
Iteration   5: 1136.207 ns/op
Iteration   6: 1104.768 ns/op
Iteration   7: 1111.862 ns/op
Iteration   8: 1104.571 ns/op
Iteration   9: 1110.874 ns/op
Iteration  10: 1110.320 ns/op
Iteration  11: 1104.987 ns/op
Iteration  12: 1110.478 ns/op
Iteration  13: 1104.670 ns/op
Iteration  14: 1110.861 ns/op
Iteration  15: 1111.361 ns/op
Iteration  16: 1104.556 ns/op
Iteration  17: 1110.002 ns/op
Iteration  18: 1104.389 ns/op
Iteration  19: 1110.096 ns/op
Iteration  20: 1113.180 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 1457.572 ns/op
# Warmup Iteration   2: 1422.673 ns/op
# Warmup Iteration   3: 1105.495 ns/op
# Warmup Iteration   4: 1101.109 ns/op
# Warmup Iteration   5: 1103.751 ns/op
Iteration   1: 1090.063 ns/op
Iteration   2: 1108.201 ns/op
Iteration   3: 1104.699 ns/op
Iteration   4: 1101.890 ns/op
Iteration   5: 1120.336 ns/op
Iteration   6: 1089.777 ns/op
Iteration   7: 1095.782 ns/op
Iteration   8: 1094.233 ns/op
Iteration   9: 1089.546 ns/op
Iteration  10: 1094.576 ns/op
Iteration  11: 1089.922 ns/op
Iteration  12: 1095.030 ns/op
Iteration  13: 1095.710 ns/op
Iteration  14: 1090.226 ns/op
Iteration  15: 1102.356 ns/op
Iteration  16: 1091.239 ns/op
Iteration  17: 1101.616 ns/op
Iteration  18: 1103.324 ns/op
Iteration  19: 1091.115 ns/op
Iteration  20: 1104.882 ns/op


Result "benchmark.PrecompiledRegexSplit.stringSplit":
  1102.868 ±(99.9%) 3.370 ns/op [Average]
  (min, avg, max) = (1089.503, 1102.868, 1136.207), stdev = 9.935
  CI (99.9%): [1099.498, 1106.238] (assumes normal distribution)


# Run complete. Total time: 00:04:13

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                          (regex)                                                                                             (trimmed)  Mode  Cnt     Score   Error  Units
PrecompiledRegexSplit.regexSplit   \s*,\s*  LO#kOt0\-UZGK!)R6'4#.	:/Ql&3
6KB)FfBnUATJAgTK_bzjLii	Y'H6CP} dm@qkS4(eyst:K)6lQ)d~k~5P]Ue%G`3>k>tV  avgt  100  1101.745 ± 3.024  ns/op
PrecompiledRegexSplit.stringSplit  \s*,\s*  LO#kOt0\-UZGK!)R6'4#.	:/Ql&3
6KB)FfBnUATJAgTK_bzjLii	Y'H6CP} dm@qkS4(eyst:K)6lQ)d~k~5P]Ue%G`3>k>tV  avgt  100  1102.868 ± 3.370  ns/op

Benchmark result is saved to split_precompiled_regex_155_100_NonMatch.csv
