# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = t(;'R4dz)lTQk/rYwn+>;[HEt}v-KFyX5N=s^Q;A+i`Zjn.#oMPYR]8~ZzcbSEm`;:g>G!{F$[4D"NMty`\P_8TbGe{Ue\C
ize^Q6YaYQ6()[a/4 7FS?^)IXVu)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1720.792 ns/op
# Warmup Iteration   2: 1703.899 ns/op
# Warmup Iteration   3: 1486.723 ns/op
# Warmup Iteration   4: 1366.354 ns/op
# Warmup Iteration   5: 1377.233 ns/op
Iteration  17: 1366.875 ns/op
Iteration  18: 1372.804 ns/op
Iteration  19: 1366.431 ns/op
Iteration  20: 1372.705 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1717.427 ns/op
# Warmup Iteration   2: 1695.091 ns/op
# Warmup Iteration   3: 1487.856 ns/op
# Warmup Iteration   4: 1366.533 ns/op
# Warmup Iteration   5: 1378.030 ns/op
Iteration   1: 1368.707 ns/op
Iteration   2: 1380.811 ns/op
Iteration   3: 1389.366 ns/op
Iteration   4: 1365.830 ns/op
Iteration   5: 1395.856 ns/op
Iteration   6: 1365.128 ns/op
Iteration   7: 1405.818 ns/op
Iteration   8: 1365.569 ns/op
Iteration   9: 1366.219 ns/op
Iteration  10: 1372.983 ns/op
Iteration  11: 1366.352 ns/op
Iteration  12: 1372.322 ns/op
Iteration  13: 1365.703 ns/op
Iteration  14: 1373.490 ns/op
Iteration  15: 1365.759 ns/op
Iteration  16: 1372.965 ns/op
Iteration  17: 1366.312 ns/op
Iteration  18: 1384.928 ns/op
Iteration  19: 1366.009 ns/op
Iteration  20: 1375.008 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1727.323 ns/op
# Warmup Iteration   2: 1700.748 ns/op
# Warmup Iteration   3: 1494.025 ns/op
# Warmup Iteration   4: 1366.947 ns/op
# Warmup Iteration   5: 1379.455 ns/op
Iteration   1: 1374.019 ns/op
Iteration   2: 1376.617 ns/op
Iteration   3: 1388.427 ns/op
Iteration   4: 1366.322 ns/op
Iteration   5: 1396.072 ns/op
Iteration   6: 1369.690 ns/op
Iteration   7: 1409.428 ns/op
Iteration   8: 1370.686 ns/op
Iteration   9: 1376.318 ns/op
Iteration  10: 1366.045 ns/op
Iteration  11: 1365.844 ns/op
Iteration  12: 1372.812 ns/op
Iteration  13: 1366.569 ns/op
Iteration  14: 1372.796 ns/op
Iteration  15: 1366.190 ns/op
Iteration  16: 1372.407 ns/op
Iteration  17: 1366.732 ns/op
Iteration  18: 1373.294 ns/op
Iteration  19: 1366.476 ns/op
Iteration  20: 1373.384 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 1733.995 ns/op
# Warmup Iteration   2: 1698.566 ns/op
# Warmup Iteration   3: 1490.555 ns/op
# Warmup Iteration   4: 1361.229 ns/op
# Warmup Iteration   5: 1372.559 ns/op
Iteration   1: 1367.461 ns/op
Iteration   2: 1370.900 ns/op
Iteration   3: 1382.413 ns/op
Iteration   4: 1359.632 ns/op
Iteration   5: 1389.891 ns/op
Iteration   6: 1359.378 ns/op
Iteration   7: 1397.658 ns/op
Iteration   8: 1359.960 ns/op
Iteration   9: 1366.394 ns/op
Iteration  10: 1359.703 ns/op
Iteration  11: 1365.879 ns/op
Iteration  12: 1359.741 ns/op
Iteration  13: 1360.046 ns/op
Iteration  14: 1365.007 ns/op
Iteration  15: 1359.419 ns/op
Iteration  16: 1364.738 ns/op
Iteration  17: 1359.401 ns/op
Iteration  18: 1365.733 ns/op
Iteration  19: 1359.346 ns/op
Iteration  20: 1365.530 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  1372.555 ±(99.9%) 3.789 ns/op [Average]
  (min, avg, max) = (1359.346, 1372.555, 1409.428), stdev = 11.173
  CI (99.9%): [1368.766, 1376.345] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
