,regex,input string length,matching position ratio,sample index,Method,Mode,data points,Unit,confidence interval (99.9%),min,max,mean,std,duration,finish time
88,http,512,0.95,5,regexMatches,avgt,100,ns/op,12.006821,297.136,397.002,318.23909,35.402419940140824,0 days 00:04:12,2021-04-06 06:57:43.788951
89,http,512,0.95,5,stringContains,avgt,100,ns/op,0.190377,76.724,78.169,77.27415,0.561313383633835,0 days 00:04:12,2021-04-06 06:57:43.788951
90,http,8192,0.95,12,regexMatches,avgt,100,ns/op,67.990014,3068.59,3605.516,3427.4225200000005,200.4701318140562,0 days 00:04:12,2021-04-06 08:03:30.470995
91,http,8192,0.95,12,stringContains,avgt,100,ns/op,0.381652,1162.379,1167.005,1163.3954800000001,1.1253273416471334,0 days 00:04:12,2021-04-06 08:03:30.470995
92,http,64,0.95,4,regexMatches,avgt,100,ns/op,2.028205,123.2,142.735,127.94306999999999,5.980197978640622,0 days 00:04:12,2021-04-06 06:13:52.715590
93,http,64,0.95,4,stringContains,avgt,100,ns/op,0.105478,16.477,17.394,16.76276,0.31102519044429366,0 days 00:04:12,2021-04-06 06:13:52.715590
94,http,512,0.95,3,regexMatches,avgt,100,ns/op,9.654343,245.174,324.763,303.31885,28.466062472963248,0 days 00:04:12,2021-04-06 01:02:30.777073
95,http,512,0.95,3,stringContains,avgt,100,ns/op,0.333408,76.731,79.098,77.82256999999998,0.983070393761763,0 days 00:04:12,2021-04-06 01:02:30.777073
96,http,65536,0.95,9,regexMatches,avgt,100,ns/op,403.934038,22619.19,25501.74,24123.280349999997,1191.0087533155033,0 days 00:04:12,2021-04-06 00:40:35.288398
97,http,65536,0.95,9,stringContains,avgt,100,ns/op,4.079774,9186.814,9240.041,9210.84797,12.029312557043715,0 days 00:04:12,2021-04-06 00:40:35.288398
98,http,16384,0.95,8,regexMatches,avgt,100,ns/op,7.781602,6635.549,6736.121,6712.23857,22.944237531549,0 days 00:04:12,2021-04-06 06:00:43.352775
99,http,16384,0.95,8,stringContains,avgt,100,ns/op,3.595191,2360.462,2389.265,2367.99986,10.600523097460686,0 days 00:04:12,2021-04-06 06:00:43.352775
100,http,65536,0.95,4,regexMatches,avgt,100,ns/op,172.68031,23782.621,25338.901,24829.25844,509.1518209196988,0 days 00:04:12,2021-04-06 05:21:15.376334
101,http,65536,0.95,4,stringContains,avgt,100,ns/op,8.590037,9316.641,9390.965,9337.49243,25.32796651456108,0 days 00:04:12,2021-04-06 05:21:15.376334
102,http,1024,0.95,14,regexMatches,avgt,100,ns/op,22.972153,499.083,709.908,633.06871,67.73395512693226,0 days 00:04:12,2021-04-06 02:38:59.593732
103,http,1024,0.95,14,stringContains,avgt,100,ns/op,0.13971,143.671,144.995,144.27177,0.4119562312487182,0 days 00:04:12,2021-04-06 02:38:59.593732
104,http,4096,0.95,14,regexMatches,avgt,100,ns/op,25.950177,1667.94,1899.359,1770.81955,76.51471261009581,0 days 00:04:12,2021-04-06 06:31:25.187336
105,http,4096,0.95,14,stringContains,avgt,100,ns/op,1.255579,616.037,629.186,625.05,3.7021089403285545,0 days 00:04:12,2021-04-06 06:31:25.187336
