,string, length, firstMatchPos,Score,Unit,Batch
43,nlerrordyARp4g4sHw8,19,2,169.012,ns/op,10
44,nQerror4tFxXZiTf096K,20,2,181.042,ns/op,10
45,iL1error,8,3,165.908,ns/op,10
46,SAoerrorj,9,3,181.731,ns/op,10
47,k0Qerrorjo,10,3,162.167,ns/op,10
48,jvaerrorQFi,11,3,158.575,ns/op,10
49,Q4gerrorRLec,12,3,157.401,ns/op,10
50,iPKerrorWOQYl,13,3,160.313,ns/op,10
51,JaNerrorilvZHc,14,3,201.716,ns/op,10
52,2yverrorQZAqFDI,15,3,160.460,ns/op,10
53,XMPerrorxBoDUb1Z,16,3,162.994,ns/op,10
54,I05errorNqBU8awZV,17,3,158.382,ns/op,10
55,JWperror2wv1aKuB7e,18,3,170.100,ns/op,10
56,o15errorSOkshEa7t9a,19,3,179.467,ns/op,10
57,bMAerrorrX7HxkGrJwVG,20,3,160.235,ns/op,10
58,Ety5error,9,4,226.744,ns/op,10
59,riE5error4,10,4,224.114,ns/op,10
60,MEuterrorog,11,4,215.101,ns/op,10
61,u1mjerrorz4r,12,4,211.713,ns/op,10
62,zqLSerroryb2m,13,4,216.179,ns/op,10
63,JpvderrorEJEDB,14,4,229.772,ns/op,10
64,PEzJerrornDiuL6,15,4,221.770,ns/op,10
65,xofFerrorxh8rej7,16,4,216.387,ns/op,10
66,LzYierrorevu6R2EO,17,4,215.174,ns/op,10
67,9XfVerror78GI7iFwk,18,4,222.844,ns/op,10
68,sjkKerrorV8ZOSeorJG,19,4,208.606,ns/op,10
69,N2V4errorZrX73CV1bkf,20,4,224.618,ns/op,10
70,dfNUverror,10,5,227.484,ns/op,10
71,bmvmkerroru,11,5,231.720,ns/op,10
72,FbioSerror0e,12,5,228.573,ns/op,10
73,CL9kAerror11i,13,5,226.988,ns/op,10
74,z5hkeerrortXoA,14,5,214.733,ns/op,10
75,YEbGFerrorVMCKj,15,5,210.802,ns/op,10
76,918cqerrorENUM8V,16,5,214.904,ns/op,10
77,u4xDmerrorbHUHYgx,17,5,208.379,ns/op,10
78,u5RsCerror1mTFMDGx,18,5,220.473,ns/op,10
79,Yy1dGerrorFnZRHzoiD,19,5,241.877,ns/op,10
80,qn8wDerrorRl266U74fa,20,5,261.188,ns/op,10
81,f73JoWerror,11,6,217.645,ns/op,10
82,fX42HIerrorM,12,6,217.251,ns/op,10
83,Ipwlp4errori7,13,6,212.091,ns/op,10
84,NpKlTjerrorktV,14,6,218.285,ns/op,10
85,dloVN2errorSYln,15,6,222.330,ns/op,10
86,o1oD6Zerror58ZHS,16,6,226.479,ns/op,10
87,AB9MXYerroroKD4ht,17,6,214.232,ns/op,10
88,8ulPBEerrorr2251p9,18,6,213.283,ns/op,10
89,jkEQ6gerroriODeOfIx,19,6,218.776,ns/op,10
90,nFkNfeerrorlUrSjYRBa,20,6,224.706,ns/op,10
91,KkBkrYUerror,12,7,230.866,ns/op,10
92,Rt4ftSFerrorH,13,7,227.000,ns/op,10
93,5kI53DHerrorgx,14,7,216.111,ns/op,10
94,06rBdcierrorO7u,15,7,210.701,ns/op,10
95,e3QNhy7errorEliz,16,7,220.893,ns/op,10
96,z6bTGlwerrorNIURN,17,7,228.948,ns/op,10
97,8Bp1YgwerrorGM290N,18,7,224.938,ns/op,10
98,Qwk9RU5errorUK4hztX,19,7,215.419,ns/op,10
99,664vLa6errorpojthaPa,20,7,215.490,ns/op,10
