,string, length,Score,Unit,Batch
62,Km2zuSYpwO4kYoPjoxLwcRkBrFgbnK1,31,8101.146,ns/op,20
63,QGt4vFVJcCJU1BtvoyK4uHkvQ1UFsqB,31,7914.307,ns/op,20
64,ZKllPWIJ22bOwDjFpG42krBfgljXvunH,32,8373.320,ns/op,20
65,qL1ZdSo12YTirRiVLt69vwWFSLZ6pYxU,32,7585.198,ns/op,20
66,kY4PCUfMRDb90zTa4K95f4Jc0gfir950O,33,8173.439,ns/op,20
67,nak0Xtmpdqe02J41G5m6eZ3XKpDd4zyN2,33,8220.181,ns/op,20
68,QK9QMV6y3k58M8iLTeQ9OudvxoYi2hmEIB,34,8661.730,ns/op,20
69,4iPbDYAJQtYidwnI7dfn2Zi4I4cKqxIdW9,34,8164.763,ns/op,20
70,cimqLv99daP87Wy2XOZZAWIgxIo1L9Ws3kt,35,8054.734,ns/op,20
71,x20tLr2xDJuO0S4leLBiHLMytKgeesj6egO,35,8773.926,ns/op,20
72,zj43Qu7tCgwtoMi8hXKDrHCBE0d9a5gGLavY,36,8154.512,ns/op,20
73,6m6VhVhO0IONjukYGmEjKaUlk7SUYoNeH9aS,36,9659.847,ns/op,20
74,SHEpDplQJVWyrWFv29Ltu5RVORCMQIyj1RDji,37,8227.241,ns/op,20
75,HRGQgrZWu0ty5cGm0bFlVbq11s85ixYID26Cy,37,8390.495,ns/op,20
76,pQksVE1TLFvygbQhLakBVopqKWng68toZf1PGS,38,8571.250,ns/op,20
77,fTNlYmMDaOV0fKRG8fzWRIaUP6D20lovWLbrX4,38,9181.938,ns/op,20
78,rRkw4HSZidWpekHLHYAFbUMVhi2Id1mbB1JvDvI,39,8796.222,ns/op,20
79,Oa5b6qmgHksz1udz4wlbDaQMhKYpPlgoSGSohpO,39,9149.568,ns/op,20
80,QVItQrFTQfytQj4kbuON4fT8ShC0Nw12fkCoSCyW,40,9184.929,ns/op,20
81,0xZlvl5SSQnYcv9QKDfa8bKBFtD7dtGjYOcerAP0,40,9131.768,ns/op,20
82,3EXdYRfcCu6Ccuetj1MXIffQgpMDx8UzFeZdcNgke,41,9644.906,ns/op,20
83,uNhnwPB1W4QQse7CDeGgt4sKdHfnezlMoqNdCGjFO,41,9636.259,ns/op,20
84,SFsTab4qOlI9qsAwP0NPwEefyc3GWmZFHjFncBv7s0,42,9894.132,ns/op,20
85,rZctan3RMsO79dbQ2PNxQv1ZzWQG9MRLTAPXORQShK,42,9484.305,ns/op,20
86,ECDZzgMx8Quqw6F3EoVKtO3i2gv7faZA1f9I2N5xv1v,43,10014.098,ns/op,20
87,NzzvK8qPoiHgWCtYvhfDPeMHmkYcZE2y9lcM5YHDqMg,43,9597.083,ns/op,20
88,KPVNsEwSYbxbNyFvRyWgNEys8LbsB0AmUuSNOVfrEiWO,44,9469.354,ns/op,20
89,ZvkA5GWuurkkwvX3QmoAAOpnaKr7lVUce3q6LdXCVXPR,44,10180.549,ns/op,20
90,IFiOZQpWp46bFuqCNwLaQNNUn8TrKoyBxaQ3mgGpHCEK7,45,10421.221,ns/op,20
91,Yoh1Mv5vqNiJXFADHeno3RIlHBIfp1A2lM48wGSDpXoxj,45,11084.481,ns/op,20
92,bVINhOTYne3nlVdZTVcnvybm2l3ijgXw5td2I2zSsLMeis,46,10072.846,ns/op,20
93,RrRVukeCS6lX86oIiJ80LSqfPSpXFCYzC86cXv3mUjFXJn,46,9909.374,ns/op,20
94,gNmgJSvvTkpuNMM7yiH73CxUQ4wAbzOMR5BKvHi00F4CN24,47,10560.482,ns/op,20
95,DJemSI50IPLmkOwvp5QONVmJXprz6ZzoeJyPjEuFwCmV83j,47,10771.606,ns/op,20
96,SOvZLDM1YMNuuNq8fT31881ObptVFjVvzhpRyA7ATwTL0OWV,48,10013.402,ns/op,20
97,JwEaAOIw3gmVpkarnEDHBnf4OUFPnTcVfNmrwFF9LKlDjxFZ,48,10182.346,ns/op,20
98,UqMBtp8P9V6yQ8D8lfwp1xpHDD9hKnx2rTLCigsAJXEj0dWu9,49,10186.728,ns/op,20
99,mxbK0bfdMj9DRvHbijekrNm8BmGWFlzZtRjAzljrjFGg60NHr,49,10843.331,ns/op,20
