,string, length, firstMatchPos,Score,Unit,Batch
78,u5RsCerror1mTFMDGx,18,5,7811.210,ns/op,10
79,Yy1dGerrorFnZRHzoiD,19,5,7501.779,ns/op,10
80,qn8wDerrorRl266U74fa,20,5,8645.999,ns/op,10
81,f73JoWerror,11,6,5481.525,ns/op,10
82,fX42HIerrorM,12,6,6056.058,ns/op,10
83,Ipwlp4errori7,13,6,6305.010,ns/op,10
84,NpKlTjerrorktV,14,6,6292.035,ns/op,10
85,dloVN2errorSYln,15,6,6411.984,ns/op,10
86,o1oD6Zerror58ZHS,16,6,6730.903,ns/op,10
87,AB9MXYerroroKD4ht,17,6,7133.153,ns/op,10
88,8ulPBEerrorr2251p9,18,6,7341.199,ns/op,10
89,jkEQ6gerroriODeOfIx,19,6,7419.503,ns/op,10
90,nFkNfeerrorlUrSjYRBa,20,6,7508.442,ns/op,10
91,KkBkrYUerror,12,7,5591.489,ns/op,10
92,Rt4ftSFerrorH,13,7,5871.517,ns/op,10
93,5kI53DHerrorgx,14,7,5995.919,ns/op,10
94,06rBdcierrorO7u,15,7,6291.435,ns/op,10
95,e3QNhy7errorEliz,16,7,6462.422,ns/op,10
96,z6bTGlwerrorNIURN,17,7,6778.619,ns/op,10
97,8Bp1YgwerrorGM290N,18,7,7047.881,ns/op,10
98,Qwk9RU5errorUK4hztX,19,7,7102.717,ns/op,10
99,664vLa6errorpojthaPa,20,7,7250.637,ns/op,10
